Study_Hours,Attendance_Percentage,Previous_Marks,Assignments_Completed,Final_Score,Pass_Fail
6.5,53.41,71.14,3,52.11,1
3.6,51.29,80.65,6,57.49,1
6.23,56.76,58.71,4,55.3,1
2.39,98.16,86.44,6,65.76,1
5.33,77.48,86.38,0,50.61,1
5.79,98.29,71.28,0,56.27,1
1.47,71.62,98.56,9,67.38,1
4.03,65.59,47.53,2,41.49,0
2.21,75.31,41.02,10,42.46,0
1.57,71.98,86.21,1,46.99,0
9.91,55.28,88.43,1,75.42,1
3.9,82.04,47.21,6,50.52,1
8.29,60.8,55.93,9,64.02,1
3.29,80.98,41.05,1,40.61,0
7.13,82.51,57.6,10,73.18,1
7.84,57.6,86.39,3,69.01,1
6.36,53.07,71.08,1,43.55,0
5.24,89.04,60.89,5,62.84,1
4.71,72.99,62.3,7,62.01,1
4.14,52.91,40.08,9,50.24,1
9.37,99.74,57.99,3,68.45,1
8.48,52.89,78.79,4,68.55,1
9.69,84.75,98.45,3,81.06,1
2.12,99.18,90.82,2,50.67,1
7.58,61.96,41.42,4,55.86,1
9.45,57.11,93.91,8,78.89,1
2.63,56.07,86.99,7,58.25,1
1.6,65.16,86.82,7,57.44,1
7.67,55.05,67.48,7,63.68,1
6.17,84.61,63.88,7,71.47,1
8.58,53.11,58.17,6,61.1,1
2.26,75.47,43.94,7,42.32,0
8.16,99.83,53.69,10,74.5,1
2.81,90.7,54.8,7,56.51,1
2.47,80.76,69.04,7,63.19,1
2.48,65.31,84.85,9,65.73,1
8.33,81.19,68.43,6,65.34,1
6.99,76.35,43.47,0,58.2,1
5.71,71.3,97.47,3,65.09,1
4.23,56.54,96.56,3,63.23,1
8.89,94.33,87.11,4,74.48,1
4.53,72.49,99.48,9,76.34,1
8.35,59.73,72.67,5,68.82,1
4.95,68.39,97.77,3,67.48,1
4.39,70.71,44.54,1,45.77,0
5.16,91.38,61.94,5,64.13,1
3.71,86.68,53.52,7,55.1,1
7.73,88.47,51.75,7,63.68,1
5.52,50.55,48.45,6,52.12,1
3.09,70.81,77.34,5,59.76,1
9.1,74.07,86.88,1,64.5,1
4.46,50.96,74.7,6,61.06,1
5.89,62.99,48.82,10,69.24,1
9.16,88.01,88.67,4,70.52,1
6.62,56.86,78.16,5,57.18,1
2.05,76.77,63.29,9,56.77,1
9.46,60.76,80.45,7,75.47,1
6.65,50.61,55.59,7,54.8,1
4.01,62.06,60.71,2,51.42,1
2.25,98.79,95.05,6,68.03,1
8.15,90.08,57.43,0,55.81,1
6.58,97.98,68.2,0,49.33,0
5.8,74.39,93.41,6,62.82,1
9.05,55.49,82.46,9,77.85,1
8.1,77.4,43.73,8,54.18,1
2.37,72.72,48.84,6,52.17,1
3.81,92.22,40.47,9,57.31,1
3.24,54.9,77.86,4,66.64,1
7.7,74.41,66.86,7,79.72,1
1.3,57.5,48.06,1,30.26,0
6.13,66.23,97.48,8,73.28,1
7.86,86.87,71.78,5,73.54,1
8.89,73.8,54.51,8,77.86,1
4.08,68.79,70.04,1,38.78,0
8.39,69.72,80.78,2,54.22,1
2.0,72.97,44.57,7,43.85,0
8.62,89.25,56.48,0,59.25,1
2.15,94.6,88.42,9,71.3,1
4.58,97.77,67.58,6,68.62,1
8.18,89.35,72.79,6,66.15,1
2.35,65.77,65.97,0,27.24,0
3.06,84.41,42.63,8,57.62,1
7.5,71.88,49.94,7,57.97,1
7.48,62.73,66.73,3,47.17,0
6.77,92.04,52.55,9,69.83,1
7.25,51.92,43.0,10,65.36,1
5.88,95.09,90.62,4,68.3,1
3.27,73.07,98.87,1,52.15,1
4.11,81.86,87.59,8,68.13,1
2.63,82.97,91.23,5,58.69,1
9.18,94.76,54.52,2,55.51,1
6.25,81.83,97.64,6,69.71,1
4.61,80.7,51.82,8,61.81,1
5.16,53.33,97.09,2,58.3,1
9.53,75.92,99.69,1,71.75,1
2.38,57.51,82.7,6,49.29,0
6.28,86.87,98.87,6,73.82,1
5.55,75.61,74.17,3,46.37,0
6.5,84.01,55.57,10,70.62,1
1.16,52.08,66.22,8,56.33,1
8.85,54.24,75.61,7,62.28,1
9.39,85.82,44.38,0,51.02,1
6.09,53.6,77.34,0,50.78,1
7.27,53.56,98.87,4,72.81,1
9.3,50.61,51.41,5,56.56,1
7.37,97.83,87.56,2,64.78,1
2.37,86.88,94.47,8,57.8,1
6.19,67.66,96.62,9,76.5,1
6.46,64.83,97.61,5,78.61,1
4.82,67.49,71.29,3,54.31,1
7.63,88.73,98.64,6,78.3,1
9.41,83.07,85.44,7,81.38,1
9.33,59.26,49.7,8,66.03,1
5.06,58.71,68.61,10,60.9,1
2.02,54.92,83.1,5,55.08,1
9.86,83.02,54.84,5,68.84,1
8.55,88.22,78.44,7,76.64,1
2.12,63.25,80.0,4,45.08,0
9.29,51.05,49.76,2,58.87,1
8.83,54.11,73.91,2,62.39,1
5.67,98.39,86.3,5,66.98,1
6.32,64.77,69.93,1,56.75,1
4.59,88.46,40.73,5,48.9,0
1.49,81.23,40.54,5,38.23,0
4.02,69.1,61.42,7,52.49,1
8.23,60.28,95.57,6,64.44,1
1.04,56.07,53.72,7,46.29,0
4.0,80.75,78.06,8,56.42,1
4.58,88.73,53.32,5,49.06,0
5.84,82.2,59.3,2,42.44,0
9.28,76.52,90.88,9,83.33,1
4.12,52.1,83.73,2,49.08,0
4.12,98.42,45.72,10,62.08,1
7.64,89.94,65.72,0,51.58,1
5.07,64.64,41.75,10,52.27,1
3.02,99.0,68.85,4,58.33,1
5.07,80.09,79.75,3,55.87,1
2.27,79.12,47.11,8,53.21,1
2.59,87.4,57.33,8,52.72,1
5.49,90.59,63.87,4,59.9,1
4.77,82.82,95.17,9,81.56,1
9.23,56.4,99.6,3,73.17,1
4.26,66.91,42.69,6,46.78,0
6.23,96.4,85.66,5,71.83,1
6.69,61.23,62.3,3,52.46,1
1.12,68.61,63.55,9,53.62,1
6.97,71.6,85.26,1,57.7,1
2.6,71.97,95.11,0,48.61,0
9.65,80.65,97.06,3,76.43,1
2.34,97.15,74.63,3,48.7,0
4.73,62.03,61.43,0,37.58,0
1.77,56.08,87.25,5,44.87,0
9.97,59.87,55.06,3,51.42,1
5.52,94.35,73.84,0,48.74,0
6.36,82.29,61.51,0,51.61,1
1.6,64.3,79.4,0,36.22,0
7.75,90.8,54.42,7,70.43,1
2.89,93.07,51.5,9,59.46,1
9.08,92.33,95.09,7,73.86,1
2.85,95.95,46.11,1,45.41,0
2.72,62.61,70.36,10,64.47,1
1.33,87.75,53.25,6,43.88,0
5.25,73.03,42.34,7,56.53,1
6.08,92.1,42.16,7,55.99,1
1.59,86.42,50.51,10,56.91,1
7.98,88.82,92.01,9,76.99,1
5.08,82.81,56.95,10,57.38,1
5.72,58.87,97.03,6,65.27,1
4.97,77.25,74.9,4,57.72,1
4.61,99.23,66.2,0,49.23,0
6.04,96.87,74.81,8,66.99,1
2.4,52.16,71.0,6,47.73,0
2.64,58.24,85.53,1,47.25,0
8.76,56.59,56.95,5,60.07,1
9.52,86.3,61.18,1,62.31,1
4.36,90.89,93.65,0,53.82,1
3.44,60.68,96.79,6,67.62,1
6.8,75.29,93.55,1,56.23,1
4.68,92.04,65.17,1,54.09,1
1.23,86.64,86.82,10,72.36,1
2.41,77.11,68.58,4,52.41,1
7.44,79.52,69.85,4,62.46,1
6.93,75.42,52.28,6,57.45,1
1.24,64.88,75.47,0,43.91,0
3.0,78.25,51.17,7,45.38,0
3.08,84.44,59.89,2,41.71,0
7.05,93.67,91.3,3,67.75,1
1.18,81.81,52.42,8,57.22,1
1.94,88.06,44.27,3,43.63,0
8.2,58.0,44.14,9,58.5,1
2.61,73.08,96.45,4,56.52,1
6.87,50.47,70.42,6,57.33,1
3.14,62.33,64.56,3,42.15,0
1.89,86.32,88.65,0,53.49,1
3.19,99.59,90.15,8,64.08,1
7.5,54.96,59.93,3,61.77,1
8.7,70.07,81.62,8,80.39,1
8.47,90.0,86.27,5,80.52,1
4.57,60.2,79.28,0,44.95,0
7.01,77.75,49.1,2,51.06,1
2.84,86.65,92.55,10,65.04,1
3.64,80.8,72.35,1,46.34,0
9.07,59.4,56.95,8,70.1,1
1.12,67.77,65.51,0,42.48,0
1.77,89.19,42.25,8,45.4,0
2.87,77.71,47.67,8,51.19,1
1.24,50.26,85.93,7,52.17,1
2.63,88.05,40.0,7,43.21,0
6.25,51.77,64.99,10,68.43,1
4.79,87.29,71.35,0,47.22,0
9.03,60.12,43.28,10,66.62,1
8.36,97.9,98.38,7,81.73,1
4.08,68.4,53.57,9,53.99,1
3.33,66.35,58.25,2,43.05,0
4.42,57.44,58.24,10,58.92,1
6.31,65.28,53.82,6,55.13,1
3.41,93.83,40.09,10,55.68,1
6.62,99.82,83.76,0,63.23,1
4.68,68.42,98.01,0,63.07,1
5.97,72.43,53.46,9,64.14,1
4.93,86.1,79.78,4,66.45,1
3.65,94.31,84.51,4,54.39,1
9.54,79.65,90.91,7,81.83,1
7.87,69.58,65.36,6,59.72,1
2.26,70.63,58.18,7,43.85,0
8.82,84.78,59.52,5,63.16,1
5.39,50.16,82.76,5,64.29,1
9.05,80.98,89.01,1,72.28,1
8.2,67.77,50.9,5,60.54,1
4.83,89.71,62.26,4,49.02,0
1.2,54.65,94.12,2,45.19,0
3.42,79.41,88.4,5,62.46,1
5.87,74.05,99.09,7,74.1,1
6.7,82.12,85.25,8,65.53,1
3.32,53.24,63.59,0,33.58,0
2.25,79.0,75.44,2,47.75,0
8.51,78.07,79.66,2,67.48,1
9.86,78.03,44.71,10,62.69,1
5.73,80.17,72.67,7,65.35,1
2.55,83.82,82.56,0,48.61,0
3.45,90.25,50.04,4,53.94,1
1.17,63.49,86.84,2,49.13,0
9.23,91.25,75.03,1,68.74,1
2.06,74.91,97.13,7,59.27,1
6.19,53.85,42.55,2,33.47,0
3.47,52.93,55.92,6,46.06,0
5.99,66.71,76.09,10,76.15,1
6.86,89.24,57.79,0,59.31,1
8.47,85.38,82.87,5,76.66,1
2.86,89.43,85.54,2,56.84,1
1.1,75.86,46.15,7,47.66,0
2.23,72.01,70.83,5,48.45,0
9.1,57.37,70.53,1,56.73,1
8.87,66.41,62.16,5,72.44,1
6.38,71.7,95.98,6,66.36,1
6.4,54.43,89.65,4,69.87,1
6.99,61.03,81.83,2,56.61,1
2.58,79.91,82.86,3,59.91,1
9.23,86.78,67.7,3,59.71,1
4.77,99.92,95.26,5,73.41,1
4.45,96.66,81.68,9,69.27,1
5.67,82.13,83.74,0,48.65,0
1.42,71.06,91.7,10,66.37,1
2.5,81.81,56.44,3,50.58,1
7.64,89.28,88.42,9,77.26,1
1.75,55.92,51.71,3,29.57,0
6.43,70.5,60.72,9,65.93,1
3.21,91.99,60.14,0,44.02,0
4.5,69.19,98.71,8,73.45,1
3.6,78.59,91.39,3,62.88,1
4.2,79.39,82.07,6,62.7,1
7.47,59.22,83.62,2,68.89,1
3.67,68.11,73.72,9,64.05,1
6.1,66.73,96.83,2,59.9,1
5.28,51.31,69.78,7,50.35,1
6.97,51.21,62.83,7,59.21,1
9.43,91.58,49.78,10,75.15,1
7.59,63.65,87.17,0,62.67,1
2.93,75.9,84.07,9,68.05,1
1.28,64.94,63.06,1,31.21,0
3.36,97.03,41.51,7,55.12,1
6.36,62.96,90.34,0,58.94,1
1.46,71.48,40.69,7,51.8,1
5.47,93.64,82.22,7,75.5,1
6.37,92.1,98.22,1,69.62,1
4.01,59.31,66.26,3,48.06,0
7.94,90.13,54.1,5,66.04,1
1.96,72.91,82.29,10,70.42,1
1.68,74.15,89.03,8,55.06,1
7.55,56.67,72.79,7,64.31,1
5.46,54.03,98.02,7,64.0,1
7.2,86.4,43.1,6,62.09,1
4.91,74.82,70.29,8,70.49,1
3.22,71.84,83.11,1,46.36,0
8.37,86.48,91.76,2,57.8,1
8.19,88.28,50.76,9,69.31,1
7.25,57.95,88.0,7,74.69,1
3.45,80.51,73.16,5,59.36,1
6.31,56.77,63.79,9,66.41,1
4.25,87.57,47.9,8,57.11,1
1.82,82.85,91.92,9,60.31,1
9.26,97.83,49.44,3,66.11,1
2.23,53.45,58.59,7,43.67,0
9.55,52.85,57.4,9,80.59,1
5.01,64.11,92.28,2,59.89,1
